 time             v(vi)            v(vc)           
 5.510000000e-08  1.680163391e-01  1.665380280e-01 
 5.710000000e-08  4.929681974e-01  4.922774531e-01 
 5.910000000e-08  2.620188893e-01  2.642058762e-01 
 6.110000000e-08  1.404831778e-01  1.393197715e-01 
 6.310000000e-08  4.784824861e-01  4.773527307e-01 
 6.510000000e-08  3.023104175e-01  3.045815286e-01 
 6.710000000e-08  1.194812250e-01  1.186700856e-01 
 6.910000000e-08  4.566895062e-01  4.551843653e-01 
 7.110000000e-08  3.425071099e-01  3.447671341e-01 
 1.100000000e-09  4.873074922e-01  4.863230378e-01 
 3.100000000e-09  2.406417959e-01  2.429599921e-01 
 5.100000000e-09  1.853623909e-01  1.835677975e-01 
 7.100000000e-09  4.996961279e-01  4.997588133e-01 
 9.100000000e-09  1.701643635e-01  1.719521544e-01 
 1.110000000e-08  2.592532195e-01  2.570104009e-01 
 1.310000000e-08  4.797188965e-01  4.808456857e-01 
 1.510000000e-08  1.207292338e-01  1.217595209e-01 
 1.710000000e-08  3.397479893e-01  3.373840599e-01 
 1.910000000e-08  4.306143331e-01  4.325885636e-01 
 2.110000000e-08  1.003501348e-01  1.005144596e-01 
 2.310000000e-08  4.137981100e-01  4.117008996e-01 
 2.510000000e-08  3.603407175e-01  3.627784309e-01 
 2.710000000e-08  1.123320477e-01  1.116286679e-01 
 2.910000000e-08  4.694009493e-01  4.679605813e-01 
 3.110000000e-08  2.802867332e-01  2.827471886e-01 
 3.310000000e-08  1.547343326e-01  1.532594748e-01 
 3.510000000e-08  4.975454157e-01  4.970662559e-01 
 3.710000000e-08  2.034264915e-01  2.055155722e-01 
 3.910000000e-08  2.206841262e-01  2.186296879e-01 
 4.110000000e-08  4.936716963e-01  4.942797370e-01 
 4.310000000e-08  1.422171907e-01  1.436469626e-01 
 4.510000000e-08  2.994903536e-01  2.971413249e-01 
 4.710000000e-08  4.584089875e-01  4.599993169e-01 
 4.910000000e-08  1.065803849e-01  1.071842890e-01 
 5.110000000e-08  3.783777728e-01  3.760968076e-01 
 5.310000000e-08  3.974727012e-01  3.997329878e-01 
 5.510000000e-08  1.022938035e-01  1.020182543e-01 
 5.710000000e-08  4.445589129e-01  4.427444139e-01 
 5.910000000e-08  3.207383505e-01  3.232416103e-01 
 6.110000000e-08  1.300540577e-01  1.289469262e-01 
 6.310000000e-08  4.873073869e-01  4.863187718e-01 
 6.510000000e-08  2.406417996e-01  2.429599976e-01 
 6.710000000e-08  1.853623933e-01  1.835678012e-01 
 6.910000000e-08  4.996961276e-01  4.997588130e-01 
 7.110000000e-08  1.701643653e-01  1.719521575e-01 
 1.100000000e-09  4.938526681e-01  4.930700911e-01 
 3.100000000e-09  1.847479687e-01  1.868621235e-01 
 5.100000000e-09  2.810540796e-01  2.785300545e-01 
 7.100000000e-09  4.440073477e-01  4.459702389e-01 
 9.100000000e-09  1.004042902e-01  1.003261550e-01 
 1.110000000e-08  4.588758853e-01  4.571068675e-01 
 1.310000000e-08  2.585055836e-01  2.611181432e-01 
 1.510000000e-08  2.041011665e-01  2.019777498e-01 
 1.710000000e-08  4.870182200e-01  4.879848305e-01 
 1.910000000e-08  1.120856406e-01  1.129660696e-01 
 2.110000000e-08  3.981462471e-01  3.957532074e-01 
 2.310000000e-08  3.389867950e-01  3.416937306e-01 
 2.510000000e-08  1.426930733e-01  1.412608155e-01 
 2.710000000e-08  4.997189723e-01  4.995099850e-01 
 2.910000000e-08  1.542245011e-01  1.559755866e-01 
 3.110000000e-08  3.215058619e-01  3.189197654e-01 
 3.310000000e-08  4.131482268e-01  4.154746883e-01 
 3.510000000e-08  1.067846503e-01  1.062304647e-01 
 3.710000000e-08  4.800499288e-01  4.787363337e-01 
 3.910000000e-08  2.199892559e-01  2.223960612e-01 
 4.110000000e-08  2.413776233e-01  2.390114023e-01 
 4.310000000e-08  4.689713052e-01  4.704732244e-01 
 4.510000000e-08  1.021958234e-01  1.026005284e-01 
 4.710000000e-08  4.311969988e-01  4.290641517e-01 
 4.910000000e-08  2.987201760e-01  3.014366956e-01 
 5.110000000e-08  1.707511094e-01  1.689433128e-01 
 5.310000000e-08  4.974092741e-01  4.977949572e-01 
 5.510000000e-08  1.296685598e-01  1.310029524e-01 
 5.710000000e-08  3.610766554e-01  3.585326043e-01 
 5.910000000e-08  3.776571210e-01  3.802341115e-01 
 6.110000000e-08  1.210759041e-01  1.200659225e-01 
 6.310000000e-08  4.938525585e-01  4.930672752e-01 
 6.510000000e-08  1.847479723e-01  1.868621295e-01 
 6.710000000e-08  2.810540795e-01  2.785300533e-01 
 6.910000000e-08  4.440073438e-01  4.459702336e-01 
 7.110000000e-08  1.004042904e-01  1.003261555e-01 
 1.100000000e-09  4.980387188e-01  4.975197984e-01 
 3.100000000e-09  1.400595610e-01  1.417236902e-01 
 5.100000000e-09  3.816594514e-01  3.789753418e-01 
 7.100000000e-09  3.171617244e-01  3.201091798e-01 
 9.100000000e-09  1.883383632e-01  1.861820936e-01 
 1.110000000e-08  4.780909539e-01  4.794499730e-01 
 1.310000000e-08  1.002176793e-01  1.003771211e-01 
 1.510000000e-08  4.712580327e-01  4.695971696e-01 
 1.710000000e-08  2.003125082e-01  2.027611024e-01 
 1.910000000e-08  3.030827084e-01  3.002944807e-01 
 2.110000000e-08  3.943084982e-01  3.969804570e-01 
 2.310000000e-08  1.319952646e-01  1.306470822e-01 
 2.510000000e-08  4.994627751e-01  4.995793037e-01 
 2.710000000e-08  1.191930849e-01  1.203821157e-01 
 2.910000000e-08  4.167180140e-01  4.142629090e-01 
 3.110000000e-08  2.767206055e-01  2.796136623e-01 
 3.310000000e-08  2.240043701e-01  2.215465225e-01 
 3.510000000e-08  4.561701083e-01  4.580675384e-01 
 3.710000000e-08  1.028862151e-01  1.025231710e-01 
 3.910000000e-08  4.885070555e-01  4.873842706e-01 
 4.110000000e-08  1.674735319e-01  1.695635112e-01 
 4.310000000e-08  3.432569189e-01  3.404625622e-01 
 4.510000000e-08  3.568998934e-01  3.597749481e-01 
 4.710000000e-08  1.572442440e-01  1.554626292e-01 
 4.910000000e-08  4.927215101e-01  4.934760279e-01 
 5.110000000e-08  1.057286068e-01  1.064105942e-01 
 5.310000000e-08  4.469973581e-01  4.448866709e-01 
 5.510000000e-08  2.372320150e-01  2.399539647e-01 
 5.710000000e-08  2.627817907e-01  2.601091508e-01 
 5.910000000e-08  4.278562986e-01  4.301982702e-01 
 6.110000000e-08  1.136252410e-01  1.127547673e-01 
 6.310000000e-08  4.980386104e-01  4.975182135e-01 
 6.510000000e-08  1.400595616e-01  1.417236905e-01 
 6.710000000e-08  3.816594420e-01  3.789753262e-01 
 6.910000000e-08  3.171617224e-01  3.201091765e-01 
 7.110000000e-08  1.883383620e-01  1.861820928e-01 
 1.100000000e-09  4.998150623e-01  4.996192932e-01 
 3.100000000e-09  1.109180478e-01  1.119115772e-01 
 5.100000000e-09  4.610069946e-01  4.589815131e-01 
 7.100000000e-09  1.818509067e-01  1.842911697e-01 
 9.100000000e-09  3.644786074e-01  3.615134915e-01 
 1.110000000e-08  2.951311649e-01  2.982832175e-01 
 1.310000000e-08  2.448295305e-01  2.420392921e-01 
 1.510000000e-08  4.101527627e-01  4.128706600e-01 
 1.710000000e-08  1.449570056e-01  1.432436591e-01 
 1.910000000e-08  4.856903263e-01  4.868524468e-01 
