 time             v(vi)            v(vo)           
 4.590000000e-08  4.568260403e-01  3.082885108e-01 
 4.790000000e-08  3.021592604e-01  4.530449613e-01 
 4.990000000e-08  1.405298305e-01  1.045552659e-01 
 5.190000000e-08  4.930626832e-01  3.862769733e-01 
 5.390000000e-08  2.231206481e-01  3.898889379e-01 
 5.590000000e-08  2.010559139e-01  1.038825060e-01 
 5.790000000e-08  4.980066794e-01  4.503135405e-01 
 5.990000000e-08  1.565428479e-01  3.121071602e-01 
 6.190000000e-08  2.776188433e-01  1.349965983e-01 
 6.390000000e-08  4.708560802e-01  4.900516660e-01 
 6.590000000e-08  1.132133295e-01  2.323470231e-01 
 6.790000000e-08  3.578097122e-01  1.928190381e-01 
 6.990000000e-08  4.160148952e-01  4.990463596e-01 
 7.190000000e-08  1.001616371e-01  1.635859788e-01 
 1.900000000e-09  4.478148483e-01  4.958376022e-01 
 3.900000000e-09  1.000908076e-01  1.770395464e-01 
 5.900000000e-09  4.555525167e-01  2.906543828e-01 
 7.900000000e-09  2.638623689e-01  4.373655592e-01 
 9.900000000e-09  1.992887563e-01  1.012636333e-01 
 1.190000000e-08  4.889630287e-01  4.643158227e-01 
 1.390000000e-08  1.139528057e-01  2.492411068e-01 
 1.590000000e-08  3.933703231e-01  2.127617432e-01 
 1.790000000e-08  3.443606424e-01  4.834857289e-01 
 1.990000000e-08  1.393075796e-01  1.090364729e-01 
 2.190000000e-08  4.994835139e-01  4.062346609e-01 
 2.390000000e-08  1.579710691e-01  3.296941113e-01 
 2.590000000e-08  3.160531014e-01  1.489584502e-01 
 2.790000000e-08  4.176688242e-01  4.998379072e-01 
 2.990000000e-08  1.053770484e-01  1.478105210e-01 
 3.190000000e-08  4.776728374e-01  3.309810384e-01 
 3.390000000e-08  2.250069874e-01  4.053056255e-01 
 3.590000000e-08  2.361337965e-01  1.095917039e-01 
 3.790000000e-08  4.719069186e-01  4.838296141e-01 
 3.990000000e-08  1.029903816e-01  2.113185940e-01 
 4.190000000e-08  4.270621753e-01  2.507045058e-01 
 4.390000000e-08  3.041977671e-01  4.637859127e-01 
 4.590000000e-08  1.665670542e-01  1.010740488e-01 
 4.790000000e-08  4.982817238e-01  4.380938024e-01 
 4.990000000e-08  1.325329998e-01  2.892477518e-01 
 5.190000000e-08  3.558551810e-01  1.783776842e-01 
 5.390000000e-08  3.827076822e-01  4.956670370e-01 
