 time            v(vop,vom)     
 3.12500000e-06 -1.87884488e-01 
 3.22500000e-06  1.18308196e-01 
 3.32500000e-06 -8.87301833e-03 
 3.42500000e-06 -1.03618565e-01 
 3.50000000e-06  1.93874583e-02 
 1.25000000e-07 -5.70449069e-02 
 2.25000000e-07 -2.05874316e-02 
 3.25000000e-07  9.50977736e-02 
 4.25000000e-07 -1.55083210e-01 
 5.25000000e-07  1.91557466e-01 
 6.25000000e-07 -1.98620575e-01 
 7.25000000e-07  1.75704614e-01 
 8.25000000e-07 -1.26004110e-01 
 9.25000000e-07  5.70496663e-02 
 1.02500000e-06  2.05897799e-02 
 1.12500000e-06 -9.51522006e-02 
 1.22500000e-06  1.55159705e-01 
 1.32500000e-06 -1.91549255e-01 
 1.42500000e-06  1.98918843e-01 
 1.52500000e-06 -1.75703881e-01 
 1.62500000e-06  1.26018644e-01 
 1.72500000e-06 -5.70653726e-02 
 1.82500000e-06 -2.05906984e-02 
 1.92500000e-06  9.51466843e-02 
 2.02500000e-06 -1.55141832e-01 
 2.12500000e-06  1.91437525e-01 
 2.22500000e-06 -1.98749582e-01 
 2.32500000e-06  1.75812591e-01 
 2.42500000e-06 -1.26015516e-01 
 2.52500000e-06  5.70574600e-02 
 2.62500000e-06  2.05914457e-02 
 2.72500000e-06 -9.51496797e-02 
 2.82500000e-06  1.55191261e-01 
 2.92500000e-06 -1.91562400e-01 
 3.02500000e-06  1.98659797e-01 
 3.12500000e-06 -1.75854750e-01 
 3.22500000e-06  1.25970304e-01 
 3.32500000e-06 -5.70407510e-02 
 3.42500000e-06 -2.05863539e-02 
 3.50000000e-06  1.11433615e-01 
 1.25000000e-07 -1.01791832e-01 
 2.25000000e-07  6.63013302e-02 
 3.25000000e-07 -2.82639600e-02 
 4.25000000e-07 -1.08790855e-02 
 5.25000000e-07  4.96290063e-02 
 6.25000000e-07 -8.64238671e-02 
 7.25000000e-07  1.19963416e-01 
 8.25000000e-07 -1.48922832e-01 
 9.25000000e-07  1.71972182e-01 
 1.02500000e-06 -1.88482195e-01 
 1.12500000e-06  1.97288384e-01 
 1.22500000e-06 -1.99389940e-01 
 1.32500000e-06  1.93580621e-01 
 1.42500000e-06 -1.80177397e-01 
 1.52500000e-06  1.59843844e-01 
 1.62500000e-06 -1.33369047e-01 
 1.72500000e-06  1.01801689e-01 
 1.82500000e-06 -6.63257530e-02 
 1.92500000e-06  2.82648532e-02 
